Date,HDFCBANK.NS,ICICIBANK.NS
2018-10-01,477.9412841796875,302.9566955566406
2018-10-03,476.9316101074219,293.01898193359375
2018-10-04,459.6966552734375,305.3688049316406
2018-10-05,461.469482421875,296.49237060546875
2018-10-08,456.7028503417969,299.9175109863281
2018-10-09,455.6696472167969,295.4792785644531
2018-10-10,461.90386962890625,308.6009826660156
2018-10-11,454.9534912109375,300.73760986328125
2018-10-12,465.3555603027344,308.16680908203125
2018-10-15,471.5075378417969,302.32958984375
2018-10-16,467.9149475097656,309.3728332519531
2018-10-17,463.6531982421875,303.7285461425781
2018-10-19,462.0447692871094,304.355712890625
2018-10-22,469.3590393066406,315.5960388183594
2018-10-23,466.05999755859375,311.4954833984375
2018-10-24,467.7975769042969,310.6753845214844
2018-10-25,462.29132080078125,308.6974792480469
2018-10-26,460.5067443847656,304.54864501953125
2018-10-29,452.3119201660156,337.1116943359375
2018-10-30,449.1302490234375,333.5418395996094
2018-10-31,448.8954772949219,342.5147705078125
2018-11-01,449.0010986328125,341.2604675292969
2018-11-02,457.74774169921875,341.9841003417969
2018-11-05,459.2857666015625,337.3529052734375
2018-11-06,457.0668029785156,340.68157958984375
2018-11-07,459.7435607910156,343.38311767578125
2018-11-09,456.7967529296875,344.2996826171875
2018-11-12,451.0791320800781,339.95794677734375
2018-11-13,452.65234375,348.20721435546875
2018-11-14,459.6966552734375,353.706787109375
2018-11-15,463.78228759765625,356.9872131347656
2018-11-16,470.62701416015625,354.6233825683594
2018-11-19,472.8811950683594,349.6545104980469
2018-11-20,472.5406799316406,345.31280517578125
2018-11-21,474.0199890136719,344.2032165527344
2018-11-22,470.9087829589844,339.66851806640625
2018-11-26,481.310791015625,343.8172912597656
2018-11-27,484.64508056640625,342.1770324707031
2018-11-28,490.5740051269531,346.3741149902344
2018-11-29,500.3890380859375,349.4615783691406
2018-11-30,499.77850341796875,342.65948486328125
2018-12-03,496.22119140625,342.9971923828125
2018-12-04,489.70526123046875,345.36102294921875
2018-12-05,492.9103698730469,339.0413818359375
2018-12-06,492.405517578125,335.4232177734375
2018-12-07,494.88275146484375,339.813232421875
2018-12-10,490.4566345214844,334.1689758300781
2018-12-11,483.60015869140625,330.7438049316406
2018-12-12,489.646484375,337.64239501953125
2018-12-13,493.40350341796875,337.2564392089844
2018-12-14,492.0885009765625,339.5238037109375
2018-12-17,500.1893310546875,345.8434143066406
2018-12-18,501.42218017578125,349.509765625
2018-12-19,498.60443115234375,353.6103210449219
2018-12-20,501.8917541503906,349.41326904296875
2018-12-21,495.71624755859375,341.7428894042969
2018-12-24,488.5546569824219,340.3439025878906
2018-12-26,498.3461608886719,343.3348693847656
2018-12-27,494.2840270996094,343.14190673828125
2018-12-28,498.4752197265625,348.0625305175781
2018-12-31,498.1934814453125,347.4836120605469
2019-01-01,504.392578125,350.95703125
2019-01-02,499.7901916503906,351.7771301269531
2019-01-03,495.8689270019531,350.4745788574219
2019-01-04,497.1955871582031,352.3560485839844
2019-01-07,497.94696044921875,354.76812744140625
2019-01-08,493.8026428222656,366.7802429199219
2019-01-09,497.04302978515625,368.8063659667969
2019-01-10,495.0940856933594,366.1531066894531
2019-01-11,495.8923645019531,365.23651123046875
2019-01-14,493.48565673828125,360.2193908691406
2019-01-15,498.2404479980469,359.6405029296875
2019-01-16,497.8412780761719,362.1007995605469
2019-01-17,500.6825256347656,361.42547607421875
2019-01-18,500.2011413574219,358.9168701171875
2019-01-21,504.40423583984375,358.6274108886719
2019-01-22,501.5161437988281,356.0705871582031
2019-01-23,494.3660888671875,354.4786376953125
2019-01-24,493.6264343261719,351.9701232910156
2019-01-25,492.15899658203125,344.63739013671875
2019-01-28,489.37652587890625,331.4674377441406
2019-01-29,483.1423034667969,334.6513977050781
2019-01-30,477.7651672363281,353.0314025878906
2019-01-31,488.3902893066406,351.6324157714844
2019-02-01,490.8557434082031,342.1770324707031
2019-02-04,494.24871826171875,342.0805358886719
2019-02-05,496.397216796875,340.2474365234375
2019-02-06,498.4165954589844,346.66351318359375
2019-02-07,497.1487121582031,346.0364074707031
2019-02-08,498.4165954589844,342.6112976074219
2019-02-11,502.4083251953125,337.73883056640625
2019-02-12,500.07196044921875,332.19110107421875
2019-02-14,495.4932556152344,331.8533935546875
2019-02-15,493.25079345703125,330.11669921875
2019-02-18,490.7265319824219,326.8362731933594
2019-02-19,489.3529968261719,331.1780090332031
2019-02-20,495.058837890625,333.0594177246094
2019-02-21,496.83160400390625,338.94488525390625
2019-02-22,491.0905456542969,339.66851806640625
2019-02-25,499.06231689453125,343.09368896484375
2019-02-26,495.5989074707031,335.9539489746094
2019-02-27,491.2784118652344,333.3971252441406
2019-02-28,487.8267822265625,337.8353576660156
2019-03-01,489.1886291503906,341.7911071777344
2019-03-05,494.765380859375,350.4745788574219
2019-03-06,494.0960693359375,358.86865234375
2019-03-07,499.32061767578125,357.7590637207031
2019-03-08,499.7197265625,357.56610107421875
2019-03-11,499.77850341796875,362.6314697265625
2019-03-12,509.7696533203125,374.5471496582031
2019-03-13,522.8132934570312,378.1169738769531
2019-03-14,522.3905029296875,374.2576599121094
2019-03-15,529.02392578125,381.39739990234375
2019-03-18,531.0079956054688,384.0506896972656
2019-03-19,532.4873046875,384.38836669921875
2019-03-20,539.8251342773438,379.08184814453125
2019-03-22,534.459716796875,378.0204772949219
2019-03-25,535.6690063476562,370.012451171875
2019-03-26,542.7250366210938,380.2396545410156
2019-03-27,539.9307250976562,379.3713073730469
2019-03-28,540.7174072265625,386.4627685546875
