entry_date,exit_date,entry_pos,entry_price_H,entry_price_I,entry_z,exit_price_H,exit_price_I,exit_z,trade_pnl,pair_ret,trade_length_days
2019-02-11,2019-02-22,-1,502.4083251953125,337.73883056640625,2.0568167899198615,491.0905456542969,339.66851806640625,0.2764304265887917,0.028240603559415933,-0.028240603559415933,11
2019-05-07,2019-05-22,-1,545.307861328125,372.9069213867188,2.11581154294565,564.8909912109375,391.0939636230469,0.47596529551980465,0.012858934421432267,-0.012858934421432267,15
2019-07-23,2019-08-21,1,534.7927856445312,398.4329528808594,-2.140431343160192,527.0676879882812,398.5296325683594,-0.4035314408038842,-0.014687679498619932,-0.014687679498619932,29
2019-09-04,2019-09-13,-1,532.2535400390625,384.4570617675781,2.1028758953129354,534.5504150390625,399.8352966308594,0.032214501559858805,0.03568449857763056,-0.03568449857763056,9
2019-10-25,2020-01-01,1,582.0394287109375,453.7077331542969,-2.8171533791760135,605.5293579101562,519.1378784179688,-0.40182717615775027,-0.10385413165238289,-0.10385413165238289,68
2020-01-27,2020-02-26,1,574.5567626953125,519.6214599609375,-3.3621530009843723,567.9501953125,506.5160827636719,-0.39630577135050693,0.013722462352042109,0.013722462352042109,30
2020-03-09,2020-04-16,-1,524.40380859375,442.7301330566406,2.876562992696851,416.6388549804688,330.77813720703125,0.10217207163812557,-0.04736740616587021,0.04736740616587021,38
2020-06-24,2020-07-07,-1,488.97943115234375,336.6780090332031,2.2166816588948715,523.3856811523438,363.71087646484375,0.40700737446192486,0.00992955160257325,-0.00992955160257325,13
2020-08-28,2020-09-01,1,527.813720703125,396.25677490234375,-2.524182818583253,533.8755493164062,378.1219787597656,-0.3818821281965557,0.05725005243649817,0.05725005243649817,4
2020-11-03,2020-11-06,1,591.013916015625,429.2862243652344,-3.014262669971088,619.2871704101562,428.2706298828125,-0.4201980907649498,0.05020433419881387,0.05020433419881387,3
